gvkey,conm,fyear,xrd,ni,at,sale,siccd,dlc,dltt
001820,ASTRONOVA INC,2018,7.813,5.73,118.983,136.657,3577,6.708,12.87
001823,ASTRONICS CORP,2018,114.3,46.803,774.64,803.256,3640,1.87,232.112
001837,SOUTHERN CO GAS,2018,,372.0,21448.0,3909.0,4924,1007.0,5583.0
001864,REX AMERICAN RESOURCES CORP,2018,,31.645,471.393,486.671,2860,0.0,0.0
001878,AUTODESK INC,2018,725.0,-80.8,4729.2,2569.8,7370,0.0,2087.7
001891,AUTOMATIC DATA PROCESSING,2018,630.2,1620.8,37088.7,13325.8,7374,2.5,2002.4
001913,AVERY DENNISON CORP,2018,98.2,467.4,5177.5,7159.0,2670,194.6,1771.6
001919,AVNET INC,2018,,-156.424,9596.845,19036.892,5065,165.38,1489.219
001920,AVON PRODUCTS,2018,48.0,-19.5,3010.0,5402.9,2844,12.0,1581.6
001926,AZZ INC,2018,,51.208,1088.57,927.087,3640,5.657,281.935
001949,BRT APARTMENTS CORP,2018,0.0,23.773,1153.364,119.247,6798,34.819,794.651
001968,BADGER METER INC,2018,11.095,27.79,392.691,433.732,3824,18.06,0.0
001979,BALCHEM CORP  -CL B,2018,11.592,78.573,981.355,643.679,2834,0.0,156.0
001982,PROTECTIVE INSURANCE CORP,2018,,-34.075,1490.131,448.512,6331,20.0,0.0
001988,BALL CORP,2018,32.0,454.0,16554.0,11635.0,3411,219.0,6510.0
002002,POPULAR INC,2018,,618.158,47604.577,2549.917,6020,493.334,1044.339
002005,BANK OF HAWAII CORP,2018,,219.602,17143.974,719.096,6020,54.495,585.643
002019,BANK OF NEW YORK MELLON CORP,2018,,4266.0,362873.0,19213.0,6020,23709.0,24863.0
002052,BARNWELL INDUSTRIES,2018,,-1.77,31.378,9.206,1311,0.0,0.0
002049,BARNES GROUP INC,2018,16.193,166.186,2808.97,1495.889,3490,7.659,936.357
002080,BASSETT FURNITURE INDS,2018,,8.218,291.641,456.855,2511,0.292,0.0
002086,BAXTER INTERNATIONAL INC,2018,655.0,1624.0,15641.0,11127.0,2834,4.0,3473.0
002101,APPLIED INDUSTRIAL TECH INC,2018,0.0,141.625,2285.741,3073.274,5080,19.183,944.522
002111,BECTON DICKINSON & CO,2018,1006.0,311.0,53904.0,15983.0,3841,2601.0,18894.0
002124,BEL FUSE INC,2018,29.4,20.709,443.524,548.184,3677,2.508,111.705
002136,VERIZON COMMUNICATIONS INC,2018,,15528.0,264829.0,130863.0,4812,7190.0,105873.0
002154,BEMIS CO INC,2018,38.0,225.7,3571.0,4089.9,2670,12.0,1348.6
002176,BERKSHIRE HATHAWAY,2018,,4021.0,707794.0,225382.0,9997,12212.0,85278.0
002184,BEST BUY CO INC,2018,0.0,1464.0,12901.0,42879.0,5731,56.0,1332.0
002220,BIO-RAD LABORATORIES INC,2018,199.196,365.614,5611.068,2289.415,3826,0.493,438.937
002240,NON INVASIVE MONITOR,2018,,-0.445,0.11,0.0,3845,0.0,2.125
002259,BLACK HILLS CORP,2018,,258.442,6963.327,1754.268,4923,191.363,2950.835
002269,BLOCK H & R INC,2018,,422.509,3299.945,3094.881,7200,0.0,1492.629
002277,BLUE RIDGE REAL ESTATE CO,2018,,-1.777,26.999,5.609,6500,0.341,6.045
002285,BOEING CO,2018,3269.0,10460.0,117359.0,101127.0,3721,3190.0,10657.0
002312,ROBERT HALF INC,2018,,434.288,1903.097,5800.271,7363,0.2,0.457
002316,HEXION INC,2018,53.0,-162.0,1961.0,3797.0,2860,3716.0,99.0
002337,RESOLUTE FOREST PRODUCTS INC,2018,,235.0,3935.0,3756.0,2621,223.0,422.0
002342,BOWL AMERICA INC  -CL A,2018,,3.786,28.909,24.771,7900,0.0,0.0
002352,BRADY CORP,2018,45.253,91.06,1056.931,1173.851,3990,0.0,52.618
002390,BRIDGFORD FOODS CORP,2018,,6.517,101.494,174.257,2013,0.0,0.0
002393,BRIGGS & STRATTON,2018,23.6,-11.32,1443.966,1881.294,3510,48.036,199.954
002403,BRISTOL-MYERS SQUIBB CO,2018,6345.0,4920.0,34986.0,22561.0,2834,1703.0,5646.0
002435,BROWN FORMAN CORP,2018,,835.0,5139.0,3324.0,2085,150.0,2290.0
002436,CALERES INC,2018,,-5.441,1838.568,2834.846,3140,335.0,197.932
002444,BRUNSWICK CORP,2018,148.8,265.3,4285.7,5159.2,3510,41.3,1179.5
002448,MATERION CORP,2018,15.187,20.846,800.341,1207.815,3330,0.0,17.287
002490,BURLINGTON NORTHERN SANTA FE,2018,,5219.0,85093.0,23855.0,4011,830.0,22396.0
002497,MASTEC INC,2018,,259.659,4439.953,6909.417,1623,82.655,1324.223
002504,UNISYS CORP,2018,31.9,75.5,2457.6,2825.0,7373,10.0,642.8
002519,BUTLER NATIONAL CORP,2018,1.888,3.853,48.902,58.71,8741,1.907,3.765
002536,LIVERAMP HOLDINGS INC,2018,85.697,1028.547,1472.911,285.62,7370,0.0,0.0
002547,CIGNA GROUP (THE),2018,0.0,2637.0,153226.0,48489.0,6324,2955.0,39523.0
