,roa,rd_intensity,rd_intensity_lag1,firm_size,leverage
count,10149.0,10149.0,10149.0,10149.0,10149.0
mean,-0.3001,0.1359,0.1363,6.198,0.4038
std,1.6407,0.3327,0.3038,2.5079,1.2851
min,-72.8017,0.0,0.0,-0.8306,0.0
25%,-0.2694,0.0092,0.0093,4.4743,0.0808
50%,-0.0211,0.0487,0.0493,6.3745,0.2579
75%,0.057,0.1526,0.1535,7.9183,0.4371
max,5.0198,14.6725,8.6167,11.6971,45.2178
